latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
48.83824,123.99778,308.91,3.35,1.73,2024-04-18,01:20,T,34,6.1NRT,291.03,33.34,D
45.83235,125.52361,307.68,2.61,1.55,2024-04-18,01:20,T,61,6.1NRT,288.43,21.52,D
45.71737,127.57198,312.83,1.99,1.38,2024-04-18,01:20,T,35,6.1NRT,294.91,14.05,D
45.72604,127.94579,313.63,1.9,1.35,2024-04-18,01:20,T,35,6.1NRT,295.19,13.35,D
45.73151,127.95271,316.23,1.9,1.35,2024-04-18,01:20,T,76,6.1NRT,295.2,18.86,D
45.7593,127.73482,317.78,1.95,1.36,2024-04-18,01:20,T,78,6.1NRT,296.73,21.22,D
45.77143,127.73625,315.42,1.95,1.36,2024-04-18,01:20,T,41,6.1NRT,296.36,14.84,D
45.92454,125.73582,305.46,2.54,1.53,2024-04-18,01:20,T,31,6.1NRT,289.89,18.66,D
45.93344,125.57291,310.17,2.6,1.55,2024-04-18,01:20,T,60,6.1NRT,289.39,25.17,D
45.98451,125.78155,309.48,2.53,1.53,2024-04-18,01:20,T,39,6.1NRT,291.1,23.14,D
46.03262,125.65568,308.18,2.57,1.54,2024-04-18,01:20,T,57,6.1NRT,291.03,17.84,D
45.76226,130.60817,309.4,1.38,1.16,2024-04-18,01:20,T,45,6.1NRT,288.16,6.99,D
45.76753,130.55562,317.03,1.39,1.17,2024-04-18,01:20,T,77,6.1NRT,288.67,17.46,D
45.76927,130.53815,310.94,1.39,1.17,2024-04-18,01:20,T,51,6.1NRT,288.1,9.75,D
45.83747,130.55789,316.49,1.39,1.17,2024-04-18,01:20,T,77,6.1NRT,288.02,18.15,D
45.95606,130.38708,310.37,1.42,1.18,2024-04-18,01:20,T,70,6.1NRT,282.39,15.14,D
45.98084,130.84688,307.18,1.35,1.15,2024-04-18,01:20,T,65,6.1NRT,286.87,10.05,D
45.7375,125.86341,307.92,2.49,1.52,2024-04-18,01:20,T,32,6.1NRT,285.18,27.25,D
45.62163,125.58782,308.75,2.57,1.54,2024-04-18,01:20,T,56,6.1NRT,290.09,19.24,D
45.38911,125.41203,310.59,2.62,1.55,2024-04-18,01:20,T,34,6.1NRT,287.97,32.84,D
45.23695,125.41714,316.53,2.61,1.55,2024-04-18,01:20,T,71,6.1NRT,286.85,56.01,D
44.88816,130.00352,307.93,1.44,1.19,2024-04-18,01:20,T,61,6.1NRT,282.71,10.07,D
45.1713,125.34464,307.11,2.63,1.56,2024-04-18,01:20,T,30,6.1NRT,284.09,23.74,D
45.17729,125.37213,308.88,2.62,1.55,2024-04-18,01:20,T,27,6.1NRT,283.64,31.43,D
45.07722,124.77122,303.24,2.83,1.61,2024-04-18,01:20,T,38,6.1NRT,287.46,15.02,D
45.83059,125.55683,307.14,2.6,1.55,2024-04-18,01:20,T,60,6.1NRT,289.15,20.47,D
48.32796,124.86446,309.03,2.99,1.64,2024-04-18,01:20,T,68,6.1NRT,288.52,34.1,D
48.32964,124.82442,305.53,3,1.65,2024-04-18,01:20,T,62,6.1NRT,288.52,23.12,D
48.32869,124.87191,305.84,2.99,1.64,2024-04-18,01:20,T,62,6.1NRT,288.58,23.91,D
48.33018,124.83171,309.66,3,1.65,2024-04-18,01:20,T,69,6.1NRT,288.9,36.47,D
44.1719,129.64359,308.44,1.47,1.2,2024-04-18,01:22,T,52,6.1NRT,290.53,10.09,D
41.73637,126.18684,308.05,2.15,1.43,2024-04-18,01:22,T,64,6.1NRT,290.43,14.45,D
42.36758,126.20286,310.39,2.19,1.43,2024-04-18,01:22,T,44,6.1NRT,282.83,28.84,D
43.34979,127.28093,307.45,1.94,1.36,2024-04-18,01:22,T,43,6.1NRT,291.98,12.56,D
43.70152,128.5556,306.28,1.66,1.27,2024-04-18,01:22,T,43,6.1NRT,292.14,6.97,D
43.76337,128.62735,310.87,1.65,1.26,2024-04-18,01:22,T,14,6.1NRT,292.14,11.79,D
44.07631,128.94353,311.28,1.6,1.24,2024-04-18,01:22,T,71,6.1NRT,275.3,22.94,D
44.1702,129.66159,307.33,1.47,1.2,2024-04-18,01:22,T,65,6.1NRT,289.88,8.68,D
44.54547,129.17802,304.75,1.57,1.24,2024-04-18,01:22,T,35,6.1NRT,284.69,8.41,D
44.60365,129.14897,302.44,1.58,1.24,2024-04-18,01:22,T,37,6.1NRT,285.27,7.18,D
44.52174,130.41347,308.55,1.36,1.16,2024-04-18,01:22,T,66,6.1NRT,291.96,7.5,D
32.55375,130.61133,316.72,1.03,1.01,2024-04-18,01:24,T,12,6.1NRT,296.12,9.47,D
17.51448,121.71185,332.31,2.14,1.42,2024-04-18,01:28,T,83,6.1NRT,304.09,51.49,D
17.51101,121.72449,333.09,2.13,1.42,2024-04-18,01:28,T,84,6.1NRT,305.24,52.35,D
16.62745,120.69053,315.08,2.5,1.52,2024-04-18,01:28,T,44,6.1NRT,294.99,27.38,D
16.62283,120.6953,317.22,2.5,1.52,2024-04-18,01:28,T,65,6.1NRT,295.96,37.56,D
17.51232,121.73154,329.34,2.13,1.42,2024-04-18,01:28,T,80,6.1NRT,304.91,37.84,D
14.74209,120.87641,319.99,2.26,1.46,2024-04-18,01:28,T,50,6.1NRT,303.31,37.04,D
15.57386,121.01065,321.78,2.27,1.46,2024-04-18,01:28,T,68,6.1NRT,297.53,27.18,D
15.5726,121.01747,320.14,2.27,1.46,2024-04-18,01:28,T,65,6.1NRT,297.89,21.12,D
11.08714,124.59206,325.97,1.12,1.06,2024-04-18,01:30,T,53,6.1NRT,305.38,10.31,D
11.09645,124.59335,324.79,1.12,1.06,2024-04-18,01:30,T,51,6.1NRT,303.67,9.72,D
12.12347,120.08282,320.95,2.39,1.49,2024-04-18,01:30,T,30,6.1NRT,301.29,23.52,D
58.42018,107.58183,300.67,1.69,1.28,2024-04-18,02:56,T,0,6.1NRT,274.42,18.04,D
60.14803,109.09581,305.19,1.56,1.23,2024-04-18,02:56,T,53,6.1NRT,276.06,20.39,D
61.34634,112.80785,352.88,1.23,1.1,2024-04-18,02:56,T,0,6.1NRT,282.1,99.42,D
58.42215,107.57657,300.5,1.69,1.28,2024-04-18,02:56,T,0,6.1NRT,274.59,17.54,D
59.76893,109.29091,300.52,1.52,1.22,2024-04-18,02:56,T,38,6.1NRT,274.94,14.98,D
47.7357,123.47009,309.11,2.79,1.6,2024-04-18,02:58,T,56,6.1NRT,294.84,28.89,D
47.54793,124.14284,306.46,3.06,1.66,2024-04-18,02:58,T,64,6.1NRT,292.41,18.67,D
48.03353,123.58421,307.49,2.76,1.59,2024-04-18,02:58,T,65,6.1NRT,293.59,17.48,D
47.85719,124.25544,304.63,3.03,1.66,2024-04-18,02:58,T,42,6.1NRT,292.06,26.08,D
47.89332,123.49254,306.3,2.76,1.59,2024-04-18,02:58,T,33,6.1NRT,292.67,17.66,D
47.83607,123.65755,304.78,2.83,1.61,2024-04-18,02:58,T,58,6.1NRT,293.01,19.89,D
47.81837,123.40628,310.22,2.75,1.59,2024-04-18,02:58,T,29,6.1NRT,295.25,21.85,D
48.09425,123.90488,306.02,2.86,1.61,2024-04-18,02:58,T,38,6.1NRT,293.42,21.15,D
47.72581,123.47187,309.54,2.79,1.6,2024-04-18,02:58,T,54,6.1NRT,294.74,29.96,D
48.18749,124.60871,305.24,3.08,1.67,2024-04-18,02:58,T,19,6.1NRT,290.75,26.43,D
48.266,124.61904,304.99,3.06,1.66,2024-04-18,02:58,T,40,6.1NRT,287.37,34.42,D
48.43342,124.594,304.16,3.02,1.65,2024-04-18,02:58,T,43,6.1NRT,289.2,28.9,D
48.43385,124.60133,302.46,3.02,1.65,2024-04-18,02:58,T,29,6.1NRT,288.87,22.63,D
48.46506,124.66308,306.48,3.03,1.66,2024-04-18,02:58,T,54,6.1NRT,288.84,39.9,D
48.68956,124.29339,301.44,2.86,1.61,2024-04-18,02:58,T,28,6.1NRT,287.58,16.1,D
48.78744,124.02819,309.36,2.75,1.59,2024-04-18,02:58,T,68,6.1NRT,290.94,28.04,D
48.69203,124.30194,302.82,2.86,1.61,2024-04-18,02:58,T,41,6.1NRT,287.45,19.59,D
48.77734,124.26984,307.98,2.83,1.61,2024-04-18,02:58,T,48,6.1NRT,288.87,33.88,D
51.20574,113.77416,333.43,1,1,2024-04-18,02:58,T,45,6.1NRT,277.45,31.72,D
51.19911,113.75706,320.59,1,1,2024-04-18,02:58,T,70,6.1NRT,277.91,18.42,D
51.20781,113.76029,334.64,1,1,2024-04-18,02:58,T,59,6.1NRT,281.82,33.91,D
51.72316,113.62349,310.11,1,1,2024-04-18,02:58,T,66,6.1NRT,275.79,12.55,D
53.63602,109.92174,301.74,1.2,1.09,2024-04-18,02:58,T,42,6.1NRT,281.87,7.89,D
55.32589,100.66647,302.21,3.18,1.69,2024-04-18,02:58,T,44,6.1NRT,283.43,36.11,D
55.32442,100.67203,304.22,3.18,1.69,2024-04-18,02:58,T,42,6.1NRT,283.51,41.71,D
55.33195,113.91624,307.21,1.02,1.01,2024-04-18,02:58,T,63,6.1NRT,278.89,10.22,D
55.33403,113.90073,311.96,1.02,1.01,2024-04-18,02:58,T,72,6.1NRT,279.16,13.34,D
55.3428,113.90427,311.4,1.02,1.01,2024-04-18,02:58,T,65,6.1NRT,280.49,12.41,D
55.38202,113.8875,327.99,1.02,1.01,2024-04-18,02:58,T,65,6.1NRT,279.1,29.47,D
55.38411,113.87199,302.27,1.02,1.01,2024-04-18,02:58,T,39,6.1NRT,279.48,7.13,D
55.39275,113.88148,314.26,1.02,1.01,2024-04-18,02:58,T,75,6.1NRT,280.32,15.29,D
48.17375,124.60036,307.77,3.08,1.67,2024-04-18,02:58,T,42,6.1NRT,290.46,34.89,D
48.06288,124.22218,305.84,2.97,1.64,2024-04-18,02:58,T,46,6.1NRT,291.72,25.5,D
48.18735,123.68262,312.59,2.76,1.59,2024-04-18,02:58,T,73,6.1NRT,295.69,33.93,D
48.06106,124.21629,305.34,2.97,1.64,2024-04-18,02:58,T,38,6.1NRT,291.89,19.85,D
48.18294,123.67537,310.95,2.76,1.59,2024-04-18,02:58,T,71,6.1NRT,294.86,27.61,D
41.36576,112.70487,319.54,1.15,1.07,2024-04-18,03:00,T,64,6.1NRT,302.12,8.48,D
39.97272,119.16418,328.04,2.76,1.59,2024-04-18,03:00,T,82,6.1NRT,301.78,81.92,D
39.96872,119.15549,329.15,2.76,1.59,2024-04-18,03:00,T,82,6.1NRT,301.36,87.54,D
41.22535,108.87644,323.41,1.01,1,2024-04-18,03:00,T,74,6.1NRT,305.18,7.61,D
40.73693,111.67047,319.77,1.08,1.04,2024-04-18,03:00,T,65,6.1NRT,300.62,8.27,D
40.48867,111.71146,320.74,1.09,1.04,2024-04-18,03:00,T,66,6.1NRT,305.12,7.49,D
39.60937,116.15699,317.89,1.87,1.34,2024-04-18,03:00,T,67,6.1NRT,302.45,18.52,D
39.60305,116.14909,317.5,1.87,1.34,2024-04-18,03:00,T,66,6.1NRT,302.2,18.88,D
40.16507,111.41572,317.03,1.08,1.04,2024-04-18,03:00,T,55,6.1NRT,302.81,4.22,D
39.73828,113.11636,322.62,1.27,1.12,2024-04-18,03:00,T,25,6.1NRT,305.45,9.16,D
39.73558,113.12415,328.33,1.27,1.12,2024-04-18,03:00,T,76,6.1NRT,306.12,18.38,D
39.02165,115.47854,313.97,1.76,1.3,2024-04-18,03:00,T,30,6.1NRT,300.84,12.93,D
39.39501,110.59811,317.4,1.04,1.02,2024-04-18,03:00,T,54,6.1NRT,301.38,6.76,D
39.39317,110.60974,317.09,1.04,1.02,2024-04-18,03:00,T,53,6.1NRT,300.47,6.36,D
39.39132,110.21067,323.95,1.02,1.01,2024-04-18,03:00,T,71,6.1NRT,305.28,10.92,D
39.25877,110.16465,336.88,1.02,1.01,2024-04-18,03:00,T,86,6.1NRT,305.74,27.66,D
39.257,110.17609,323.57,1.03,1.01,2024-04-18,03:00,T,71,6.1NRT,304.18,10.2,D
49.73849,111.68394,302.63,1.01,1.01,2024-04-18,03:00,T,13,6.1NRT,287.67,4.97,D
49.73663,111.6975,311.34,1.01,1,2024-04-18,03:00,T,71,6.1NRT,292.26,10.78,D
45.97895,125.78082,304.9,4.19,1.9,2024-04-18,03:00,T,26,6.1NRT,288.28,30.34,D
45.92372,125.56988,306.42,4.11,1.88,2024-04-18,03:00,T,63,6.1NRT,289.61,32.08,D
45.74207,125.86153,317.06,4.31,1.92,2024-04-18,03:00,T,77,6.1NRT,290.24,101.71,D
45.72623,125.85253,317.78,4.31,1.92,2024-04-18,03:00,T,75,6.1NRT,288.82,104.04,D
45.73934,125.85262,322.95,4.31,1.92,2024-04-18,03:00,T,82,6.1NRT,290.28,152.12,D
45.72491,125.90346,313.48,4.34,1.92,2024-04-18,03:00,T,66,6.1NRT,288.73,78.94,D
45.6382,125.67175,307.42,4.25,1.91,2024-04-18,03:00,T,54,6.1NRT,289.42,46.51,D
45.30951,125.45718,309.32,4.25,1.91,2024-04-18,03:00,T,64,6.1NRT,290.07,49,D
45.1013,126.17965,306.09,4.71,1.99,2024-04-18,03:00,T,53,6.1NRT,288.11,40.75,D
45.10142,126.17263,305.69,4.71,1.99,2024-04-18,03:00,T,46,6.1NRT,288.24,37.47,D
45.23444,125.63891,307.61,4.38,1.93,2024-04-18,03:00,T,56,6.1NRT,290.77,40.48,D
45.22778,125.40295,305.71,4.25,1.91,2024-04-18,03:00,T,43,6.1NRT,289.33,34.64,D
45.11018,125.68475,306,4.44,1.94,2024-04-18,03:00,T,23,6.1NRT,290.34,32.49,D
45.18068,125.37592,311.94,4.25,1.91,2024-04-18,03:00,T,65,6.1NRT,289.15,68.94,D
45.09427,125.67542,307.53,4.44,1.94,2024-04-18,03:00,T,51,6.1NRT,290.59,42.48,D
45.16499,125.36694,307.17,4.25,1.91,2024-04-18,03:00,T,23,6.1NRT,288.58,40.68,D
45.22385,125.3952,306.1,4.25,1.91,2024-04-18,03:00,T,39,6.1NRT,289.17,36.34,D
45.10769,125.67767,309.2,4.44,1.94,2024-04-18,03:00,T,61,6.1NRT,290.37,53.35,D
45.1768,125.368,312.96,4.25,1.91,2024-04-18,03:00,T,69,6.1NRT,289.09,77.69,D
44.71014,126.11778,307.99,4.82,2,2024-04-18,03:00,T,53,6.1NRT,289.04,47.44,D
44.66079,126.08915,306.61,4.82,2,2024-04-18,03:00,T,44,6.1NRT,289.4,33.73,D
44.71111,126.1106,306.4,4.82,2,2024-04-18,03:00,T,40,6.1NRT,289.27,38.04,D
45.98679,120.99271,310.65,2.35,1.48,2024-04-18,03:00,T,69,6.1NRT,294.06,25.02,D
44.75134,125.51322,307.43,4.47,1.94,2024-04-18,03:00,T,49,6.1NRT,290.11,36.58,D
44.74874,125.50721,307.29,4.47,1.94,2024-04-18,03:00,T,41,6.1NRT,290.03,35.44,D
43.46976,120.98536,312.26,2.79,1.6,2024-04-18,03:00,T,60,6.1NRT,297.27,16.39,D
43.84346,113.67608,313.93,1.15,1.07,2024-04-18,03:00,T,69,6.1NRT,291.93,8.88,D
39.98024,119.13275,318.27,2.75,1.59,2024-04-18,03:00,T,57,6.1NRT,299.97,33.81,D
38.37487,109.88156,323.09,1.02,1.01,2024-04-18,03:02,T,72,6.1NRT,303.37,11.28,D
35.9727,111.84424,316.81,1.28,1.12,2024-04-18,03:02,T,56,6.1NRT,301.55,7.07,D
36.57217,111.73262,317.94,1.24,1.1,2024-04-18,03:02,T,16,6.1NRT,302.77,6.43,D
36.76182,110.84979,324.82,1.13,1.06,2024-04-18,03:02,T,78,6.1NRT,298.51,20.22,D
36.83881,111.00343,319.32,1.14,1.06,2024-04-18,03:02,T,71,6.1NRT,298.58,13.43,D
36.84375,111.01057,314.92,1.14,1.06,2024-04-18,03:02,T,62,6.1NRT,298.03,7.83,D
37.97515,110.87752,323.36,1.09,1.04,2024-04-18,03:02,T,74,6.1NRT,301.42,15.33,D
37.68513,112.58526,318.51,1.3,1.13,2024-04-18,03:02,T,50,6.1NRT,303.12,6.61,D
36.87569,117.09454,312.99,2.51,1.52,2024-04-18,03:02,T,52,6.1NRT,296.09,25.65,D
36.87019,117.09952,311.7,2.51,1.52,2024-04-18,03:02,T,45,6.1NRT,297.41,22.25,D
35.70135,110.7842,314.61,1.16,1.07,2024-04-18,03:02,T,32,6.1NRT,301.39,8.02,D
38.37663,109.87021,318.77,1.02,1.01,2024-04-18,03:02,T,64,6.1NRT,300.98,6.68,D
38.04346,112.72617,314.88,1.3,1.13,2024-04-18,03:02,T,48,6.1NRT,301.11,5.89,D
38.53753,109.85154,328.28,1.02,1.01,2024-04-18,03:02,T,79,6.1NRT,303.92,15.79,D
38.54635,109.85371,320.18,1.02,1.01,2024-04-18,03:02,T,67,6.1NRT,304.27,6.31,D
38.58875,110.00075,320.02,1.03,1.01,2024-04-18,03:02,T,66,6.1NRT,303.06,7.96,D
32.15868,117.2569,302.93,3.41,1.74,2024-04-18,03:02,T,41,6.1NRT,287.01,21.53,D
32.17359,117.26167,303.15,3.41,1.74,2024-04-18,03:02,T,36,6.1NRT,287.69,22.14,D
34.033,108.7053,322,1.03,1.01,2024-04-18,03:02,T,39,6.1NRT,295.89,11.81,D
34.03468,108.69447,319.42,1.03,1.01,2024-04-18,03:02,T,31,6.1NRT,293.61,9.1,D
34.04856,108.66396,312.97,1.03,1.01,2024-04-18,03:02,T,37,6.1NRT,292.44,5.91,D
34.35049,109.10673,310.08,1.05,1.02,2024-04-18,03:02,T,33,6.1NRT,294.65,3.91,D
34.40823,108.73457,310.25,1.03,1.01,2024-04-18,03:02,T,33,6.1NRT,294.81,3.64,D
34.46696,109.19139,311.26,1.05,1.02,2024-04-18,03:02,T,58,6.1NRT,294.64,5.98,D
34.87712,109.00047,315.58,1.03,1.02,2024-04-18,03:02,T,69,6.1NRT,299.72,7.61,D
34.55846,112.34034,314.28,1.44,1.19,2024-04-18,03:02,T,46,6.1NRT,299.39,8.7,D
35.41369,110.83472,316.31,1.17,1.08,2024-04-18,03:02,T,43,6.1NRT,299.94,6.36,D
35.50262,110.91633,312.84,1.18,1.08,2024-04-18,03:02,T,43,6.1NRT,298.14,7.34,D
35.68152,110.84356,313.22,1.16,1.07,2024-04-18,03:02,T,54,6.1NRT,300.63,7.45,D
31.38052,118.48697,302.28,4.31,1.92,2024-04-18,03:02,T,25,6.1NRT,288.27,27.49,D
33.03852,112.37583,307.49,1.55,1.23,2024-04-18,03:02,T,62,6.1NRT,294.27,8.71,D
32.16221,117.25094,303.62,3.41,1.74,2024-04-18,03:02,T,14,6.1NRT,287.67,22.5,D
32.83842,114.06287,306.97,2.01,1.38,2024-04-18,03:02,T,52,6.1NRT,295.15,12.36,D
24.27328,105.46054,312.27,1.01,1,2024-04-18,03:04,T,63,6.1NRT,293.9,6.08,D
24.27186,105.47014,310.21,1.01,1,2024-04-18,03:04,T,55,6.1NRT,293.77,4.86,D
23.48195,105.74895,312.84,1.02,1.01,2024-04-18,03:04,T,64,6.1NRT,298.09,7.99,D
23.47309,105.74732,311.28,1.02,1.01,2024-04-18,03:04,T,55,6.1NRT,297.69,6.87,D
23.48046,104.11879,324.78,1.01,1,2024-04-18,03:04,T,79,6.1NRT,299.17,12.58,D
22.68179,102.26534,314.36,1.13,1.06,2024-04-18,03:04,T,70,6.1NRT,292.99,12.01,D
22.74569,101.69852,309.78,1.21,1.09,2024-04-18,03:04,T,61,6.1NRT,292.88,7.39,D
23.06912,97.38872,312.48,2.41,1.5,2024-04-18,03:04,T,54,6.1NRT,294.57,17.47,D
22.35958,100.95569,320.86,1.32,1.14,2024-04-18,03:04,T,75,6.1NRT,298.38,16.17,D
21.50578,103.98529,316.34,1,1,2024-04-18,03:04,T,50,6.1NRT,299.22,7.01,D
21.69496,102.19711,311.88,1.12,1.05,2024-04-18,03:04,T,62,6.1NRT,296.85,7.07,D
21.6936,102.20761,317.81,1.12,1.05,2024-04-18,03:04,T,72,6.1NRT,296.79,12.43,D
26.57327,101.66405,327.19,1.35,1.15,2024-04-18,03:04,T,80,6.1NRT,306.8,17.45,D
20.439,100.90091,315.66,1.26,1.11,2024-04-18,03:06,T,31,6.1NRT,298.23,8.31,D
