latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
50.87236,36.11779,303.02,1.22,1.1,2024-04-03,00:39,A,53,6.1NRT,267.33,13.58,N
51.60049,37.63503,315.1,1.34,1.15,2024-04-03,00:39,A,91,6.1NRT,282.16,26.32,N
51.39795,38.7265,323.86,1.5,1.21,2024-04-03,00:39,A,100,6.1NRT,276.75,47.25,N
50.86924,36.13429,301.68,1.22,1.1,2024-04-03,00:39,A,43,6.1NRT,267.95,12.63,N
54.16941,37.72438,318.88,1.19,1.09,2024-04-03,00:39,A,98,6.1NRT,280.36,27.09,N
44.42038,131.6398,311.16,2.09,1.41,2024-04-03,01:02,T,71,6.1NRT,287.19,28.45,D
48.20616,132.09033,301.62,2.18,1.43,2024-04-03,01:02,T,48,6.1NRT,282.55,18.33,D
48.34388,132.15085,304.73,2.17,1.43,2024-04-03,01:02,T,60,6.1NRT,281.71,22.17,D
48.3457,132.12175,318.1,2.18,1.43,2024-04-03,01:02,T,78,6.1NRT,280.91,53.74,D
44.25706,131.91255,309.9,2.01,1.38,2024-04-03,01:02,T,69,6.1NRT,285.21,26.53,D
44.25979,131.92033,300.67,2.01,1.38,2024-04-03,01:02,T,40,6.1NRT,285.07,11.2,D
44.40429,131.68883,308.21,2.08,1.4,2024-04-03,01:02,T,63,6.1NRT,284.41,22.56,D
44.40609,131.66327,359.28,2.09,1.41,2024-04-03,01:02,T,99,6.1NRT,287.55,246.13,D
44.41859,131.66499,343.57,2.09,1.41,2024-04-03,01:02,T,93,6.1NRT,289.6,143.76,D
40.74352,141.40089,304.41,1.11,1.05,2024-04-03,01:05,T,40,6.1NRT,289.83,4.78,D
49.10267,126.67883,307.11,2.11,1.41,2024-04-03,02:38,T,65,6.1NRT,277.32,30.92,D
49.78285,124.31424,303.75,1.55,1.23,2024-04-03,02:38,T,49,6.1NRT,276.58,14.2,D
50.05758,123.95693,327.99,1.47,1.2,2024-04-03,02:38,T,85,6.1NRT,273.51,50.84,D
50.0615,123.93746,312.07,1.47,1.2,2024-04-03,02:38,T,60,6.1NRT,278.1,23.01,D
50.06515,123.946,313.69,1.47,1.2,2024-04-03,02:38,T,42,6.1NRT,276.96,24.43,D
50.0457,124.60612,323.42,1.58,1.24,2024-04-03,02:38,T,82,6.1NRT,278.43,46.24,D
50.05009,124.58537,303.24,1.57,1.24,2024-04-03,02:38,T,53,6.1NRT,278.35,15.09,D
50.09184,124.89387,330.46,1.62,1.25,2024-04-03,02:38,T,82,6.1NRT,278.28,64.03,D
53.18491,118.18078,348.93,1.01,1,2024-04-03,02:38,T,83,6.1NRT,277.39,60.79,D
53.18288,118.19535,368.28,1,1,2024-04-03,02:38,T,100,6.1NRT,281.65,112.56,D
52.42408,112.28553,310.5,1.42,1.18,2024-04-03,02:38,T,34,6.1NRT,278.83,18.76,D
50.1498,129.24338,330.88,2.61,1.55,2024-04-03,02:38,T,87,6.1NRT,279.14,129.46,D
49.76843,127.4195,302.26,2.19,1.43,2024-04-03,02:38,T,51,6.1NRT,279.59,22.01,D
49.76854,127.41431,302.7,2.19,1.43,2024-04-03,02:38,T,53,6.1NRT,279.15,24.24,D
50.24634,124.8378,301.85,1.6,1.24,2024-04-03,02:38,T,37,6.1NRT,278.63,13.43,D
50.19064,124.87952,348.5,1.61,1.25,2024-04-03,02:38,T,90,6.1NRT,279.38,120.2,D
50.18618,124.90051,308.32,1.61,1.25,2024-04-03,02:38,T,18,6.1NRT,273.72,18.72,D
54.14183,110.2411,310.13,1.84,1.33,2024-04-03,02:38,T,70,6.1NRT,277.53,28.09,D
55.42859,113.52637,314.65,1.39,1.17,2024-04-03,02:38,T,75,6.1NRT,274.49,27.89,D
53.19163,118.19865,325.17,1,1,2024-04-03,02:38,T,76,6.1NRT,281.86,25.02,D
53.19365,118.18412,312.66,1.01,1,2024-04-03,02:38,T,34,6.1NRT,275.89,12.51,D
54.13002,110.2389,316.58,1.84,1.33,2024-04-03,02:38,T,77,6.1NRT,278.36,40.64,D
49.02362,126.59319,305.17,2.1,1.41,2024-04-03,02:38,T,61,6.1NRT,278,27.95,D
50.96403,115.57074,324.63,1.06,1.03,2024-04-03,02:38,T,79,6.1NRT,283.02,23.92,D
49.06692,126.592,306.83,2.09,1.41,2024-04-03,02:38,T,64,6.1NRT,277.73,30.69,D
49.10188,126.67152,307.13,2.11,1.41,2024-04-03,02:38,T,59,6.1NRT,277.33,28.66,D
45.47542,124.95496,301.89,2.2,1.44,2024-04-03,02:41,T,50,6.1NRT,287.13,14.87,D
46.0265,122.71931,314.53,1.62,1.25,2024-04-03,02:41,T,75,6.1NRT,290.94,23.99,D
45.84886,124.63464,305.93,2.07,1.4,2024-04-03,02:41,T,25,6.1NRT,288.98,14.67,D
45.84986,124.74637,307.91,2.09,1.41,2024-04-03,02:41,T,32,6.1NRT,289.17,18.9,D
45.58471,126.16662,305.51,2.54,1.53,2024-04-03,02:41,T,62,6.1NRT,286.35,25.05,D
45.95689,124.6366,304.23,2.05,1.39,2024-04-03,02:41,T,46,6.1NRT,288.9,11.64,D
45.9625,124.61172,305.46,2.04,1.39,2024-04-03,02:41,T,56,6.1NRT,290.08,13.47,D
45.61053,126.17947,302.57,2.54,1.53,2024-04-03,02:41,T,51,6.1NRT,285.57,16.86,D
45.54136,126.70797,310.51,2.73,1.58,2024-04-03,02:41,T,70,6.1NRT,284.38,40.55,D
45.546,126.71551,312,2.73,1.58,2024-04-03,02:41,T,72,6.1NRT,284.5,47.8,D
46.32648,123.32796,306.39,1.71,1.28,2024-04-03,02:41,T,63,6.1NRT,289.14,10.97,D
46.38988,123.08386,310,1.66,1.27,2024-04-03,02:41,T,55,6.1NRT,290.22,13.73,D
46.42001,123.05247,308.2,1.65,1.26,2024-04-03,02:41,T,50,6.1NRT,290.97,11,D
46.39661,123.22179,314.08,1.68,1.28,2024-04-03,02:41,T,63,6.1NRT,288.15,20.53,D
46.40955,123.15969,318.52,1.67,1.27,2024-04-03,02:41,T,79,6.1NRT,287.77,27.05,D
46.4059,123.23253,313.56,1.68,1.28,2024-04-03,02:41,T,39,6.1NRT,288.52,18.85,D
46.45593,123.0526,321.18,1.65,1.26,2024-04-03,02:41,T,52,6.1NRT,290.38,28.96,D
46.47098,123.03701,318.32,1.64,1.26,2024-04-03,02:41,T,66,6.1NRT,291.09,24.13,D
46.47523,123.01677,315.81,1.64,1.26,2024-04-03,02:41,T,23,6.1NRT,290.55,19.48,D
46.45385,123.23094,306.67,1.68,1.27,2024-04-03,02:41,T,27,6.1NRT,287.84,8.64,D
46.4582,123.21025,306.33,1.68,1.27,2024-04-03,02:41,T,30,6.1NRT,288.28,8.11,D
46.46252,123.30301,314.45,1.69,1.28,2024-04-03,02:41,T,74,6.1NRT,288.34,21.01,D
46.4669,123.28214,312.52,1.69,1.28,2024-04-03,02:41,T,61,6.1NRT,289.92,17.88,D
46.50266,123.28082,314.05,1.68,1.28,2024-04-03,02:41,T,74,6.1NRT,289.89,20.43,D
46.56119,123.05995,312.59,1.64,1.26,2024-04-03,02:41,T,45,6.1NRT,290.3,14.77,D
46.56569,123.15083,323.82,1.65,1.26,2024-04-03,02:41,T,54,6.1NRT,290.41,30.03,D
